Fund,Proposal,Challenge,Link,Overall score,Votes cast,YES,ABSTAIN,NO,Result,Meets approval threshold,REQUESTED,STATUS,FUND DEPLETION,Ccy,Reason for not funded status
Fund08,360 Development Launchpad,"Grow India, Grow Cardano",https://app.ideascale.com/t/UM5UZBwR9,2.44,114,20561099,0,21338954,-777855,NO,29000,NOT FUNDED,1062,USD,Approval Threshold
Fund08,5 Loaves 2 Fish Feed The Hungry App,Nation Building Dapps,https://app.ideascale.com/t/UM5UZBvNs,3.83,227,31504048,0,36222394,-4718346,NO,300000,NOT FUNDED,7200,USD,Approval Threshold
Fund08,A Cardano Impact Ecosystem,Miscellaneous Challenge,https://app.ideascale.com/t/UM5UZBw8E,3.25,66,22738796,0,14096623,8642173,YES,12250,NOT FUNDED,332,USD,Over Budget
Fund08,A Film of Cardano Mission in Africa,Film + Media (FAM) creatives un,https://app.ideascale.com/t/UM5UZBumT,3.67,123,29230530,0,15862101,13368429,YES,75000,NOT FUNDED,14700,USD,Over Budget
Fund08,A LIBRARY FACILITY AT MEDIE,Scale-UP Cardanos Community Hub,https://app.ideascale.com/t/UM5UZBvQS,3.07,79,22542495,0,13227648,9314847,NO,19000,NOT FUNDED,6141,USD,Approval Threshold
Fund08,A More Robust NFT standard,Open Standards & Interoperabili,https://app.ideascale.com/t/UM5UZBvaE,4,100,21614935,0,13847111,7767824,NO,28600,NOT FUNDED,11755,USD,Approval Threshold
Fund08,A People's Cadastre in Mozambique ✊,Nation Building Dapps,https://app.ideascale.com/t/UM5UZBv1n,4.67,387,82779067,0,14000445,68778622,YES,98450,FUNDED,387100,USD,
Fund08,A region-based sharded network,Cardano scaling solutions,https://app.ideascale.com/t/UM5UZBwAg,3.94,252,34775250,0,33569610,1205640,NO,30000,NOT FUNDED,183473,USD,Approval Threshold
Fund08,A Scalable Service For NFT Utility,Cardano scaling solutions,https://app.ideascale.com/t/UM5UZBv9U,3.93,284,53002125,0,21428289,31573836,YES,40000,FUNDED,344462,USD,
Fund08,A2T: 5th Gen Info War Simulator,Gamers On - Chained,https://app.ideascale.com/t/UM5UZBw15,4.47,124,23347728,0,14508044,8839684,YES,54000,NOT FUNDED,803,USD,Over Budget
