Fund,Proposal,Challenge,Link,Overall score,Votes cast,YES,ABSTAIN,NO,Result,Meets approval threshold,REQUESTED,STATUS,FUND DEPLETION,Reason for not funded status,Ccy
Fund07,Application contest for students,Connecting Japan日本 Community,https://app.ideascale.com/t/UM5UZBqiG,2.58,315,89446813,0,12495711,76951102,YES,5000,NOT FUNDED,1500,Over Budget,USD
Fund07,Application Portfolio Assessment,Catalyst Accelerator & Mentors,https://app.ideascale.com/t/UM5UZBrSR,3.78,118,24122107,0,9365701,14756406,NO,25000,NOT FUNDED,960,Approval Threshold,USD
Fund07,Art at the Edge of The Universe,Miscellaneous Challenge,https://app.ideascale.com/t/UM5UZBrOv,2.83,96,15266504,0,23692269,-8425765,NO,130000,NOT FUNDED,3495,Approval Threshold,USD
Fund07,Artifact- Real Estate Utility Token,Boosting Cardanos DeFi,https://app.ideascale.com/t/UM5UZBrOQ,3.27,319,23555257,0,20692628,2862629,NO,20000,NOT FUNDED,5940,Approval Threshold,USD
Fund07,Atala Japanese Translation ＆ CNFT,Accelerate Decentralized Identi,https://app.ideascale.com/t/UM5UZBqye,4,238,149407057,0,6941619,142465438,YES,50000,FUNDED,351300,,USD
Fund07,ATALA Prism in Chaco,"Grow Latin America, Grow Cardan",https://app.ideascale.com/t/UM5UZBrOB,3.67,138,36386215,0,14944128,21442087,YES,24000,NOT FUNDED,225,Over Budget,USD
Fund07,Atala PRISM tools for web apps,Accelerate Decentralized Identi,https://app.ideascale.com/t/UM5UZBrGe,3.22,115,18343407,0,15711711,2631696,NO,10000,NOT FUNDED,13120,Approval Threshold,USD
Fund07,Auditability through film and media,Improve and Grow Auditability,https://app.ideascale.com/t/UM5UZBrfx,3.5,119,26645810,0,18739777,7906033,YES,9000,NOT FUNDED,2327,Over Budget,USD
Fund07,Automated funding catalyst projects,Catalyst - Rapid Funding Mechan,https://app.ideascale.com/t/UM5UZBq9P,3.3,251,48978930,0,11910479,37068451,YES,33100,NOT FUNDED,4500,Over Budget,USD
Fund07,AVOUM on Cardano,Seeding Cardanos Grassroots DeF,https://app.ideascale.com/t/UM5UZBrSj,4.27,234,113784230,0,3750169,110034061,YES,26500,FUNDED,111500,,USD
Fund07,Backgound Verification (BVG),Accelerate Decentralized Identi,https://app.ideascale.com/t/UM5UZBq6O,1.33,125,15482929,0,18699778,-3216849,NO,30000,NOT FUNDED,13120,Approval Threshold,USD
Fund07,Bank Systems Using People,Boosting Cardanos DeFi,https://app.ideascale.com/t/UM5UZBrEO,1.67,341,12367184,0,29218319,-16851135,NO,200000,NOT FUNDED,5940,Approval Threshold,USD
Fund07,Bare Metal Green Infrastructure,Global Sustainable Indep. SPOs,https://app.ideascale.com/t/UM5UZBrbK,3.17,122,38119878,0,16357880,21761998,YES,20000,NOT FUNDED,250,Over Budget,USD
Fund07,Basic Plutus Voting dApp,DAOs ❤ Cardano,https://app.ideascale.com/t/UM5UZBrai,2.81,461,148564142,0,11819294,136744848,YES,15000,FUNDED,385013,,USD
Fund07,Be a Tree! - The Tree Simulator!!,Gamers On-Chained,https://app.ideascale.com/t/UM5UZBq5t,3.67,173,40651900,0,7243120,33408780,YES,18300,NOT FUNDED,624,Over Budget,USD
Fund07,Bears Club - Club Simulation Game,Gamers On-Chained,https://app.ideascale.com/t/UM5UZBqyQ,3.47,134,24844980,0,14917753,9927227,YES,40000,NOT FUNDED,624,Over Budget,USD
Fund07,Bees Delivery DAO,DAOs ❤ Cardano,https://app.ideascale.com/t/UM5UZBrCi,4.13,254,48536154,0,12747286,35788868,YES,21000,NOT FUNDED,16173,Over Budget,USD
Fund07,Before Will DApp,DApps & Integrations,https://app.ideascale.com/t/UM5UZBrKA,3.08,150,17360669,0,20042411,-2681742,NO,56000,NOT FUNDED,1350,Approval Threshold,USD
Fund07,Benefits App,DApps & Integrations,https://app.ideascale.com/t/UM5UZBqYC,3.93,192,28211098,0,20276829,7934269,YES,115200,NOT FUNDED,1350,Over Budget,USD
Fund07,Bermuda: ADA Innovation Sandbox,Catalyst Accelerator & Mentors,https://app.ideascale.com/t/UM5UZBrMo,2.92,106,24708363,0,15337852,9370511,YES,115000,NOT FUNDED,960,Over Budget,USD
Fund07,Beyond ISOs: SPO-driven Funding,New SPO Business Opportunities,https://app.ideascale.com/t/UM5UZBrcu,4.87,726,162107576,0,8788906,153318670,YES,35300,FUNDED,214700,,USD
Fund07,BioCrypTricks (A Human 2.0 Project),A.I. & SingularityNet a $5T mar,https://app.ideascale.com/t/UM5UZBrHy,3.27,118,17192845,0,17475802,-282957,NO,100000,NOT FUNDED,1725,Approval Threshold,USD
Fund07,Blace.io: Marketplace Creator ⚡,Open Source Developer Ecosystem,https://app.ideascale.com/t/UM5UZBqYG,4.67,209,51226590,0,24056593,27169997,YES,97000,NOT FUNDED,5409,Over Budget,USD
Fund07,blockchain based Dating App,Miscellaneous Challenge,https://app.ideascale.com/t/UM5UZBrNb,3.17,96,20248974,0,22201814,-1952840,NO,19000,NOT FUNDED,3495,Approval Threshold,USD
