Fund,Proposal,Challenge,Link,Overall score,Votes cast,YES,ABSTAIN,NO,Result,Meets approval threshold,REQUESTED,STATUS,FUND DEPLETION,Reason for not funded status,Ccy
Fund07,Game Token Design [Revelar + Duo],Gamers On-Chained,https://app.ideascale.com/t/UM5UZBrLB,4.6,271,59858139,0,9503279,50354860,YES,12000,NOT FUNDED,4624,Over Budget,USD
Fund07,GameChanger CLI: ready2use outputs,Open Source Developer Ecosystem,https://app.ideascale.com/t/UM5UZBrFM,4.33,177,62183205,0,6338755,55844450,YES,2000,FUNDED,19700,,USD
Fund07,GameChanger: Dandelion Deployment,"Grow Latin America, Grow Cardan",https://app.ideascale.com/t/UM5UZBrFY,4.78,421,83913885,0,13486195,70427690,YES,3600,FUNDED,208506,,USD
Fund07,GameChanger: Ledger HW support,Miscellaneous Challenge,https://app.ideascale.com/t/UM5UZBrEo,5,395,104219796,0,4769078,99450718,YES,4980,FUNDED,167020,,USD
Fund07,GameChanger: Most required features,Miscellaneous Challenge,https://app.ideascale.com/t/UM5UZBrEv,3.89,112,22259689,0,17230926,5028763,YES,9000,NOT FUNDED,3495,Over Budget,USD
Fund07,GameChanger: smart contract support,DApps & Integrations,https://app.ideascale.com/t/UM5UZBrEf,4.78,676,111642694,0,4112351,107530343,YES,9000,FUNDED,46350,,USD
Fund07,GameChanger: Spanish and Portuguese,Multilingual resources,https://app.ideascale.com/t/UM5UZBrFD,4.61,304,78705052,0,1734337,76970715,YES,5000,FUNDED,40428,,USD
Fund07,Gamify LacedWhales Twitter bot,Gamers On-Chained,https://app.ideascale.com/t/UM5UZBreW,4.21,187,44600832,0,4380855,40219977,YES,4000,FUNDED,624,,USD
Fund07,Gamifying Littercoin,Gamers On-Chained,https://app.ideascale.com/t/UM5UZBqtE,3.27,148,17585339,0,13902711,3682628,NO,75000,NOT FUNDED,624,Approval Threshold,USD
Fund07,Gaming & Artificial Brains,A.I. & SingularityNet a $5T mar,https://app.ideascale.com/t/UM5UZBrEt,3.75,163,52637973,0,4379475,48258498,YES,24000,NOT FUNDED,17725,Over Budget,USD
Fund07,Gaming dApp Hackathon,Gamers On-Chained,https://app.ideascale.com/t/UM5UZBrDX,2.08,216,34805375,0,12730916,22074459,YES,50000,NOT FUNDED,624,Over Budget,USD
Fund07,Geneva Business Development Hub,Scale-UP Cardanos Community Hub,https://app.ideascale.com/t/UM5UZBrPs,4.67,218,80451561,0,686282,79765279,YES,5850,FUNDED,79665,,USD
Fund07,Gig Economy Marketplace LatAm,"Grow Latin America, Grow Cardan",https://app.ideascale.com/t/UM5UZBqxb,4.42,163,42396612,0,18098951,24297661,YES,78590,NOT FUNDED,225,Over Budget,USD
Fund07,Giving DIDs and VCs a push,Accelerate Decentralized Identi,https://app.ideascale.com/t/UM5UZBrVp,2.1,101,17417983,0,13236739,4181244,NO,18854,NOT FUNDED,13120,Approval Threshold,USD
Fund07,Gliese 16c - Asian NFT game,Gamers On-Chained,https://app.ideascale.com/t/UM5UZBrQW,4,149,35527632,0,14908355,20619277,YES,33300,NOT FUNDED,624,Over Budget,USD
Fund07,Global ADA lottery,Multilingual resources,https://app.ideascale.com/t/UM5UZBrBN,1.22,113,14591466,0,23426291,-8834825,NO,8000,NOT FUNDED,1078,Approval Threshold,USD
Fund07,Global Change Mgmt Operating System,Nation Building Dapps,https://app.ideascale.com/t/UM5UZBqyv,2.27,108,16673936,0,24146770,-7472834,NO,280000,NOT FUNDED,20515,Approval Threshold,USD
Fund07,Global Identity and Authentication,Accelerate Decentralized Identi,https://app.ideascale.com/t/UM5UZBqec,2.92,155,23090674,0,14098296,8992378,YES,93000,NOT FUNDED,13120,Over Budget,USD
Fund07,Global Project Crowd-Sourcing,Nation Building Dapps,https://app.ideascale.com/t/UM5UZBq5G,2.5,101,24428211,0,22975348,1452863,NO,112358,NOT FUNDED,20515,Approval Threshold,USD
Fund07,Glow Formal Verification Stage 2,Open Source Developer Ecosystem,https://app.ideascale.com/t/UM5UZBrQ6,4.25,203,78952451,0,5872027,73080424,YES,76000,NOT FUNDED,45700,Over Budget,USD
Fund07,Glow on the PAB,Open Source Developer Ecosystem,https://app.ideascale.com/t/UM5UZBrRf,4.13,195,54824762,0,18655442,36169320,YES,63000,NOT FUNDED,5409,Over Budget,USD
Fund07,GMBL Turning Dev > Blockchain Devs,Open Source Developer Ecosystem,https://app.ideascale.com/t/UM5UZBrCq,4.78,269,52644389,0,19749965,32894424,YES,64000,NOT FUNDED,5409,Over Budget,USD
Fund07,Go-Peds Go-Cardano,Scale-UP Cardanos Community Hub,https://app.ideascale.com/t/UM5UZBrXS,4.4,123,38862187,0,25853132,13009055,YES,34600,NOT FUNDED,2097,Over Budget,USD
Fund07,Governance for Rewards donation,New SPO Business Opportunities,https://app.ideascale.com/t/UM5UZBqXS,3.8,124,31571679,0,21353642,10218037,YES,15000,NOT FUNDED,8800,Over Budget,USD
Fund07,Government Trust Frameworks,Accelerate Decentralized Identi,https://app.ideascale.com/t/UM5UZBrJc,3.73,120,24230524,0,14847733,9382791,YES,40000,NOT FUNDED,13120,Over Budget,USD
Fund07,"Grow Afriteen, grow Cardano ERGhana",Community Events,https://app.ideascale.com/t/UM5UZBqsy,4.17,310,55511270,0,6542741,48968529,YES,8000,NOT FUNDED,1119,Over Budget,USD
Fund07,"Grow ALDEA, Grow Latin America","Grow Latin America, Grow Cardan",https://app.ideascale.com/t/UM5UZBq8j,4.19,200,53148830,0,4471579,48677251,YES,24780,FUNDED,225,,USD
Fund07,"Grow Dandelion, Grow SPO businesses",New SPO Business Opportunities,https://app.ideascale.com/t/UM5UZBrei,4.67,375,82514487,0,19963960,62550527,YES,14400,FUNDED,8800,,USD
Fund07,"Grow MALTA, Grow Europe !",Scale-UP Cardanos Community Hub,https://app.ideascale.com/t/UM5UZBrRy,4.67,234,60819734,0,14060511,46759223,YES,25000,NOT FUNDED,2097,Over Budget,USD
Fund07,Grow the avocado producer,"Grow Latin America, Grow Cardan",https://app.ideascale.com/t/UM5UZBqn1,1.27,138,14484145,0,25382215,-10898070,NO,100000,NOT FUNDED,225,Approval Threshold,USD
Fund07,Growing Cardano in Ethiopia,Scale-UP Cardanos Community Hub,https://app.ideascale.com/t/UM5UZBraI,4.19,149,33378197,0,15723305,17654892,YES,33780,NOT FUNDED,2097,Over Budget,USD
Fund07,Hackaton for Entrepreneurs,Scale-UP Cardanos Community Hub,https://app.ideascale.com/t/UM5UZBrE4,1.47,114,14509351,0,24253936,-9744585,NO,40000,NOT FUNDED,2097,Approval Threshold,USD
Fund07,Hardware wallet site / 10meetup JP,Scale-UP Cardanos Community Hub,https://app.ideascale.com/t/UM5UZBrXP,3.56,181,135410871,0,4348743,131062128,YES,2000,FUNDED,256500,,USD
Fund07,Haskell & Coffee ☕,Community Events,https://app.ideascale.com/t/UM5UZBqX9,4.42,492,85957784,0,3652601,82305183,YES,8200,FUNDED,84516,,USD
Fund07,Health DAO,Accelerate Decentralized Identi,https://app.ideascale.com/t/UM5UZBraw,4.58,285,110259046,0,2081673,108177373,YES,28000,FUNDED,239360,,USD
Fund07,Hive Mind cNFT Policy ID Validation,Scale-UP Cardanos Community Hub,https://app.ideascale.com/t/UM5UZBqvW,1.53,103,14660724,0,20792701,-6131977,NO,2500,NOT FUNDED,2097,Approval Threshold,USD
Fund07,https://www.cardanoworld.io,New SPO Business Opportunities,https://app.ideascale.com/t/UM5UZBqnE,3.78,136,61236890,0,11833378,49403512,YES,15000,NOT FUNDED,8800,Over Budget,USD
Fund07,Hyperledger-Prism Interoperability,Accelerate Decentralized Identi,https://app.ideascale.com/t/UM5UZBqoh,4.78,426,119806113,0,2515121,117290992,YES,30000,FUNDED,282300,,USD
Fund07,Hypotheses for AI/Singularity Net,A.I. & SingularityNet a $5T mar,https://app.ideascale.com/t/UM5UZBqzp,3.6,139,46175482,0,9226726,36948756,YES,26800,NOT FUNDED,17725,Over Budget,USD
Fund07,i3D Mass Adoption Protocol,DApps & Integrations,https://app.ideascale.com/t/UM5UZBq2v,4.75,351,74449304,0,11485856,62963448,YES,42700,NOT FUNDED,1350,Over Budget,USD
Fund07,Idea Fest by Catalyst Swarm,Community Events,https://app.ideascale.com/t/UM5UZBqXa,4.79,1026,174765398,0,3082804,171682594,YES,22700,FUNDED,173300,,USD
Fund07,Identify patterns on Transaction,A.I. & SingularityNet a $5T mar,https://app.ideascale.com/t/UM5UZBq6i,4.29,255,84237620,0,3344431,80893189,YES,30000,FUNDED,240000,,USD
Fund07,IlluminatAI SWARM,A.I. & SingularityNet a $5T mar,https://app.ideascale.com/t/UM5UZBq6B,3.76,158,48943736,0,5936273,43007463,YES,35000,NOT FUNDED,17725,Over Budget,USD
Fund07,Impact innovation accelerator,Catalyst Accelerator & Mentors,https://app.ideascale.com/t/UM5UZBrdv,3.78,120,48200078,0,4321126,43878952,YES,35000,FUNDED,960,,USD
Fund07,Impact Measurements Tool - research,Improve and Grow Auditability,https://app.ideascale.com/t/UM5UZBrF9,4.6,276,80655537,0,3413220,77242317,YES,6000,FUNDED,39800,,USD
Fund07,Incrypture - Pooling DeFi,Boosting Cardanos DeFi,https://app.ideascale.com/t/UM5UZBrR8,3.9,306,54524920,0,14572557,39952363,YES,50000,NOT FUNDED,5940,Over Budget,USD
Fund07,Incrypture - Smart Structure,Boosting Cardanos DeFi,https://app.ideascale.com/t/UM5UZBrRa,3.75,292,47280024,0,11962984,35317040,YES,50000,NOT FUNDED,5940,Over Budget,USD
Fund07,Incrypture- Structured-FI Education,Miscellaneous Challenge,https://app.ideascale.com/t/UM5UZBrSt,2.92,86,17023224,0,21024161,-4000937,NO,15000,NOT FUNDED,3495,Approval Threshold,USD
Fund07,Indigo NFT for Sustainable Fashion,MiniLow-Budget Dapps & Integrat,https://app.ideascale.com/t/UM5UZBrR9,1.44,96,14579320,0,15194530,-615210,NO,10000,NOT FUNDED,46442,Approval Threshold,USD
Fund07,"INDIGO, NFT & SUSTAINABLE FASHION",Scale-UP Cardanos Community Hub,https://app.ideascale.com/t/UM5UZBrQu,3.06,167,78961100,0,12940857,66020243,YES,50000,NOT FUNDED,42653,Over Budget,USD
Fund07,Industry Presentation Kit,Miscellaneous Challenge,https://app.ideascale.com/t/UM5UZBrSA,4.67,202,82267782,0,3611305,78656477,YES,7500,FUNDED,103020,,USD
Fund07,Infinity Financial Operating System,Boosting Cardanos DeFi,https://app.ideascale.com/t/UM5UZBrBy,3.22,282,29293671,0,12752663,16541008,YES,24000,NOT FUNDED,5940,Over Budget,USD
Fund07,Infinity Financial Operating System,Seeding Cardanos Grassroots DeF,https://app.ideascale.com/t/UM5UZBra0,3.56,170,84641357,0,7968031,76673326,YES,24000,FUNDED,87500,,USD
Fund07,Influencers as Ambassadors Brazil,"Grow Latin America, Grow Cardan",https://app.ideascale.com/t/UM5UZBrCo,1.38,127,14917737,0,23296983,-8379246,NO,12000,NOT FUNDED,225,Approval Threshold,USD
Fund07,Influencing Policy for Adoption,Lobbying for favorable legislat,https://app.ideascale.com/t/UM5UZBqhW,4.78,1336,170871113,0,15260329,155610784,YES,14000,FUNDED,25500,,USD
Fund07,Informal sector asset tracker,Nation Building Dapps,https://app.ideascale.com/t/UM5UZBqzf,2.83,97,23471265,0,23818994,-347729,NO,85000,NOT FUNDED,20515,Approval Threshold,USD
Fund07,Infrastructure & Blockchain,Nation Building Dapps,https://app.ideascale.com/t/UM5UZBq43,2.72,95,15836309,0,20484668,-4648359,NO,25000,NOT FUNDED,20515,Approval Threshold,USD
Fund07,Infrastructure & Blockchain,Nation Building Dapps,https://app.ideascale.com/t/UM5UZBqiA,2.67,93,15680037,0,21384282,-5704245,NO,25000,NOT FUNDED,20515,Approval Threshold,USD
Fund07,Infrastructure/Fund tracking system,Nation Building Dapps,https://app.ideascale.com/t/UM5UZBrJs,2.14,97,15307404,0,13823928,1483476,NO,60000,NOT FUNDED,20515,Approval Threshold,USD
Fund07,Innovatio Crowdfunding Launchpad,Boosting Cardanos DeFi,https://app.ideascale.com/t/UM5UZBqfw,4.96,2921,446066509,0,8167903,437898606,YES,80000,FUNDED,420000,,USD
Fund07,Insight Sharing Workshops - TCS,Community Events,https://app.ideascale.com/t/UM5UZBrNI,4.83,976,190599175,0,3268219,187330956,YES,4000,FUNDED,196000,,USD
Fund07,Integration in Trustee Wallet,DApps & Integrations,https://app.ideascale.com/t/UM5UZBrFW,3.93,166,27071993,0,15871321,11200672,YES,45000,NOT FUNDED,1350,Over Budget,USD
Fund07,Interaction with blockchain,DApps & Integrations,https://app.ideascale.com/t/UM5UZBqjf,1.56,144,14606923,0,18493204,-3886281,NO,20000,NOT FUNDED,1350,Approval Threshold,USD
Fund07,Interoperability within Atala Prism,Accelerate Decentralized Identi,https://app.ideascale.com/t/UM5UZBqt8,4.92,734,151340860,0,1786085,149554775,YES,5500,FUNDED,401300,,USD
Fund07,Interoperable platform,Boosting Cardanos DeFi,https://app.ideascale.com/t/UM5UZBrcJ,1.48,324,20042413,0,30806998,-10764585,NO,40000,NOT FUNDED,5940,Approval Threshold,USD
Fund07,Introducing 100 Cardano Defi in JP,Scale-UP Cardanos Community Hub,https://app.ideascale.com/t/UM5UZBrXT,4,215,152083302,0,3719740,148363562,YES,1500,FUNDED,258500,,USD
Fund07,Introductory Blockchain MOOC PT-BR,"Grow Latin America, Grow Cardan",https://app.ideascale.com/t/UM5UZBrWJ,4.9,701,162412637,0,1679736,160732901,YES,9150,FUNDED,490850,,USD
Fund07,IRONSKY PlaytoEarn Milestone of ADA,Gamers On-Chained,https://app.ideascale.com/t/UM5UZBrK8,4.92,790,148875069,0,5262389,143612680,YES,31426,FUNDED,116574,,USD
Fund07,Jakazi Handyman DApp,DApps & Integrations,https://app.ideascale.com/t/UM5UZBq94,1.83,140,15015235,0,16307308,-1292073,NO,30000,NOT FUNDED,1350,Approval Threshold,USD
Fund07,Japanese Ambassadors & Catalyst,Connecting Japan日本 Community,https://app.ideascale.com/t/UM5UZBq1Q,3.5,382,158232692,0,5521783,152710909,YES,6500,FUNDED,19500,,USD
Fund07,Japanese Cardano Crash Course Video,Multilingual resources,https://app.ideascale.com/t/UM5UZBrDS,3.76,133,66552398,0,3779372,62773026,YES,10000,NOT FUNDED,7078,Over Budget,USD
Fund07,Japanese FUD / SCAM Buster 100,Disarm cyber disinformation att,https://app.ideascale.com/t/UM5UZBrXC,3.63,365,142915932,0,11429946,131485986,YES,1500,FUNDED,39000,,USD
Fund07,Japanese Voter Survey - AIM,Connecting Japan日本 Community,https://app.ideascale.com/t/UM5UZBqsU,4.6,768,230219228,0,5092460,225126768,YES,9000,FUNDED,41000,,USD
Fund07,JP-Regional Revitalization Project,Scale-UP Cardanos Community Hub,https://app.ideascale.com/t/UM5UZBqiY,3.67,209,166625150,0,4849345,161775805,YES,10000,FUNDED,260000,,USD
Fund07,KONMA DAO,DAOs ❤ Cardano,https://app.ideascale.com/t/UM5UZBrIz,3.72,214,33154336,0,14412439,18741897,YES,75000,NOT FUNDED,16173,Over Budget,USD
Fund07,Konma Labz,Seeding Cardanos Grassroots DeF,https://app.ideascale.com/t/UM5UZBrVV,4.42,259,63670377,0,16199775,47470602,YES,30000,FUNDED,7700,,USD
Fund07,Konma Upskill,Multilingual resources,https://app.ideascale.com/t/UM5UZBrM0,4.3,119,45165185,0,17869049,27296136,YES,20100,NOT FUNDED,1078,Over Budget,USD
Fund07,Konma WEB3 payment Solution,Catalyst Natives COTI Pay with ,https://app.ideascale.com/t/UM5UZBrLi,4.11,728,108883942,0,4621329,104262613,YES,25000,NOT FUNDED,9951,Over Budget,USD
Fund07,Konma Xperience Centre,Scale-UP Cardanos Community Hub,https://app.ideascale.com/t/UM5UZBrXq,4.42,129,48738596,0,12013428,36725168,YES,51648,NOT FUNDED,2097,Over Budget,USD
Fund07,KONMAHOOD - Defining Communities.,Community Events,https://app.ideascale.com/t/UM5UZBrXG,3.8,222,30755610,0,14431471,16324139,YES,30000,NOT FUNDED,1119,Over Budget,USD
Fund07,Konmaswap a DEX for Cardano,Boosting Cardanos DeFi,https://app.ideascale.com/t/UM5UZBrKs,4.27,426,78268771,0,22511094,55757677,YES,73600,NOT FUNDED,5940,Over Budget,USD
Fund07,KYC Verified Credential Issuer,Accelerate Decentralized Identi,https://app.ideascale.com/t/UM5UZBq5N,2.58,115,16495117,0,12828312,3666805,NO,37300,NOT FUNDED,13120,Approval Threshold,USD
Fund07,Landano: Cardano land registry Dapp,Nation Building Dapps,https://app.ideascale.com/t/UM5UZBqol,4.33,288,119544771,0,3007261,116537510,YES,98725,FUNDED,183515,,USD
Fund07,LATAM Community DID,Accelerate Decentralized Identi,https://app.ideascale.com/t/UM5UZBqbf,4.53,194,52195819,0,8573001,43622818,YES,24000,NOT FUNDED,23120,Over Budget,USD
Fund07,Latam Community DID Research,"Grow Latin America, Grow Cardan",https://app.ideascale.com/t/UM5UZBqbm,4.11,129,41329002,0,18054775,23274227,YES,30300,NOT FUNDED,225,Over Budget,USD
Fund07,LATAM Industry Presentation Kit,"Grow Latin America, Grow Cardan",https://app.ideascale.com/t/UM5UZBrRt,4.78,518,126729658,0,986384,125743274,YES,7500,FUNDED,483350,,USD
Fund07,LATAM Town Hall by Catalyst Swarm,"Grow Latin America, Grow Cardan",https://app.ideascale.com/t/UM5UZBqXe,4.77,483,121516925,0,4002087,117514838,YES,19488,FUNDED,463862,,USD
Fund07,Latam Women Cardano Plutus Bootcamp,"Grow Latin America, Grow Cardan",https://app.ideascale.com/t/UM5UZBrQ4,4.33,212,44019535,0,13640152,30379383,YES,70000,NOT FUNDED,225,Over Budget,USD
Fund07,Latin America DeFi,Boosting Cardanos DeFi,https://app.ideascale.com/t/UM5UZBqve,1.67,314,15473359,0,26872391,-11399032,NO,35000,NOT FUNDED,5940,Approval Threshold,USD
Fund07,Latin American artists,"Grow Latin America, Grow Cardan",https://app.ideascale.com/t/UM5UZBrP7,1.9,119,15040054,0,24380187,-9340133,NO,50000,NOT FUNDED,225,Approval Threshold,USD
Fund07,Ledger Live Integration,Open Source Developer Ecosystem,https://app.ideascale.com/t/UM5UZBrc0,4.71,843,216467733,0,8867505,207600228,YES,75000,FUNDED,125000,,USD
Fund07,Legal Framework for ICOs in US,Lobbying for favorable legislat,https://app.ideascale.com/t/UM5UZBqda,3.76,389,51444648,0,28145846,23298802,YES,35000,NOT FUNDED,4500,Over Budget,USD
Fund07,Let's Woo Techstars,Catalyst Accelerator & Mentors,https://app.ideascale.com/t/UM5UZBrbt,1.93,127,25758397,0,17906830,7851567,YES,405000,NOT FUNDED,960,Over Budget,USD
Fund07,Liquidity Aggregator for Cardano,DApps & Integrations,https://app.ideascale.com/t/UM5UZBrcM,4.75,699,145223690,0,10823828,134399862,YES,50000,FUNDED,85250,,USD
Fund07,Littlefish Foundation Kiva-like DAO,DAOs ❤ Cardano,https://app.ideascale.com/t/UM5UZBrNH,3.89,229,61155591,0,7415939,53739652,YES,24000,NOT FUNDED,16173,Over Budget,USD
Fund07,Living Waters Costa Rica,"Grow Latin America, Grow Cardan",https://app.ideascale.com/t/UM5UZBrQB,2.87,117,16179603,0,19174543,-2994940,NO,10000,NOT FUNDED,225,Approval Threshold,USD
Fund07,Lobby Ethiopia,Lobbying for favorable legislat,https://app.ideascale.com/t/UM5UZBqbe,3.24,286,24811277,0,31876696,-7065419,NO,30000,NOT FUNDED,4500,Approval Threshold,USD
Fund07,Local Cardano Meetups,Community Events,https://app.ideascale.com/t/UM5UZBqqy,3.39,220,17651143,0,21940282,-4289139,NO,20000,NOT FUNDED,1119,Approval Threshold,USD
Fund07,Local Charity Fundraising Platform,DApps & Integrations,https://app.ideascale.com/t/UM5UZBrSu,3.27,142,15465094,0,13958630,1506464,NO,10000,NOT FUNDED,1350,Approval Threshold,USD
Fund07,Localize Yoroi for Vietnam market,Open Source Developer Ecosystem,https://app.ideascale.com/t/UM5UZBqy9,5,358,85188219,0,11151566,74036653,YES,3000,FUNDED,45700,,USD
Fund07,Lokole Education Centre in DR Congo,Scale-UP Cardanos Community Hub,https://app.ideascale.com/t/UM5UZBrcg,4,128,65370806,0,2281096,63089710,YES,9420,FUNDED,23597,,USD
Fund07,Lossless Donation DEFI protocol,Boosting Cardanos DeFi,https://app.ideascale.com/t/UM5UZBrGC,3.44,305,32456727,0,20648485,11808242,YES,70500,NOT FUNDED,5940,Over Budget,USD
Fund07,Lost |&| Found,Nation Building Dapps,https://app.ideascale.com/t/UM5UZBrF7,4.33,183,71246301,0,8022405,63223896,YES,24000,FUNDED,20515,,USD
Fund07,Lovelace translation Portuguese,"Grow Latin America, Grow Cardan",https://app.ideascale.com/t/UM5UZBrDU,3.08,148,18382890,0,23857127,-5474237,NO,7500,NOT FUNDED,225,Approval Threshold,USD
Fund07,LovelaceAcademy translation Spanish,"Grow Latin America, Grow Cardan",https://app.ideascale.com/t/UM5UZBrU1,2.33,131,20112421,0,17836432,2275989,NO,7500,NOT FUNDED,225,Approval Threshold,USD
Fund07,Loxe Inc. Plutus Internship Program,Miscellaneous Challenge,https://app.ideascale.com/t/UM5UZBqiq,4.75,256,100720510,0,3756785,96963725,YES,9000,FUNDED,118020,,USD
Fund07,Loyalty Tokens for Businesses,MiniLow-Budget Dapps & Integrat,https://app.ideascale.com/t/UM5UZBrbP,3.67,147,67278200,0,3518798,63759402,YES,9800,FUNDED,140201,,USD
Fund07,MADAO: Mutual Aid DAO,DAOs ❤ Cardano,https://app.ideascale.com/t/UM5UZBqdB,3,189,31493426,0,16864670,14628756,YES,39800,NOT FUNDED,16173,Over Budget,USD
Fund07,Make Atala Prism DID THE Standard,Accelerate Decentralized Identi,https://app.ideascale.com/t/UM5UZBrRu,3.67,146,50903725,0,3767133,47136592,YES,6500,FUNDED,23120,,USD
Fund07,market jetchicken NFT card game,Gamers On-Chained,https://app.ideascale.com/t/UM5UZBrf7,2.67,159,23704339,0,15234185,8470154,YES,32000,NOT FUNDED,624,Over Budget,USD
Fund07,Market-Agnostic Recursive Royalties,DApps & Integrations,https://app.ideascale.com/t/UM5UZBrdc,1.47,153,17295399,0,17465793,-170394,NO,12000,NOT FUNDED,1350,Approval Threshold,USD
Fund07,Marketing Training for African SPOs,Global Sustainable Indep. SPOs,https://app.ideascale.com/t/UM5UZBrFs,4.44,207,58885604,0,8192619,50692985,YES,8000,NOT FUNDED,7900,Over Budget,USD
Fund07,Marketplace P2P,"Grow Latin America, Grow Cardan",https://app.ideascale.com/t/UM5UZBrMe,1.25,149,15458415,0,26287918,-10829503,NO,300000,NOT FUNDED,225,Approval Threshold,USD
Fund07,Mass Cardano Education for Students,Community Events,https://app.ideascale.com/t/UM5UZBq50,4.38,472,54863067,0,9764557,45098510,YES,26000,NOT FUNDED,1119,Over Budget,USD
Fund07,Mechanism Templates for Funding,Catalyst - Rapid Funding Mechan,https://app.ideascale.com/t/UM5UZBqji,1.81,225,24214600,0,21260789,2953811,NO,9000,NOT FUNDED,4500,Approval Threshold,USD
Fund07,Mechverse:Origin NFT based Game,Gamers On-Chained,https://app.ideascale.com/t/UM5UZBq4i,3.78,145,26441444,0,13542467,12898977,YES,40000,NOT FUNDED,624,Over Budget,USD
Fund07,Medical Industry Credential System,Accelerate Decentralized Identi,https://app.ideascale.com/t/UM5UZBraY,3.89,141,23589310,0,9498471,14090839,NO,25000,NOT FUNDED,13120,Approval Threshold,USD
Fund07,Medusa Wallet,DApps & Integrations,https://app.ideascale.com/t/UM5UZBqwk,4.21,233,54997507,0,7588102,47409405,YES,30000,NOT FUNDED,1350,Over Budget,USD
Fund07,Meetup Northeast Argentina 2022,"Grow Latin America, Grow Cardan",https://app.ideascale.com/t/UM5UZBqah,3.89,127,31312710,0,21280529,10032181,YES,9500,NOT FUNDED,225,Over Budget,USD
Fund07,Megaclite - Game Dev and Consulting,Gamers On-Chained,https://app.ideascale.com/t/UM5UZBrO3,3.78,145,27936860,0,13423897,14512963,YES,100000,NOT FUNDED,624,Over Budget,USD
Fund07,Mereb,Catalyst Accelerator & Mentors,https://app.ideascale.com/t/UM5UZBrgl,1.89,120,16720440,0,17001468,-281028,NO,96250,NOT FUNDED,960,Approval Threshold,USD
Fund07,MetaCenter: Cardano + Metaverse,Community Events,https://app.ideascale.com/t/UM5UZBrLT,3.12,254,19339305,0,21972601,-2633296,NO,60000,NOT FUNDED,1119,Approval Threshold,USD
Fund07,Metahagane - NFT Trading card game.,Gamers On-Chained,https://app.ideascale.com/t/UM5UZBqq8,3.33,130,26104823,0,15197472,10907351,YES,34500,NOT FUNDED,624,Over Budget,USD
Fund07,Milkomeda Accelerator,Catalyst Accelerator & Mentors,https://app.ideascale.com/t/UM5UZBrgr,2.56,259,65505582,0,11177447,54328135,YES,50000,FUNDED,35960,,USD
Fund07,Milkomeda ADA Audit,Miscellaneous Challenge,https://app.ideascale.com/t/UM5UZBrDl,3.44,276,112760382,0,13980804,98779578,YES,40000,FUNDED,127020,,USD
Fund07,Milkomeda DAO Hackathon,DAOs ❤ Cardano,https://app.ideascale.com/t/UM5UZBrDT,3.22,439,97186297,0,17746888,79439409,YES,50000,FUNDED,89073,,USD
Fund07,Milkomeda documentation (es & pt),"Grow Latin America, Grow Cardan",https://app.ideascale.com/t/UM5UZBrC8,2.92,224,52779357,0,17262369,35516988,YES,4000,NOT FUNDED,225,Over Budget,USD
Fund07,"Milkomeda documentation(JP, KR, ZH)",Multilingual resources,https://app.ideascale.com/t/UM5UZBrC3,3,222,73695928,0,17060278,56635650,YES,4000,FUNDED,3078,,USD
Fund07,Milkomeda Latam Hackathon,"Grow Latin America, Grow Cardan",https://app.ideascale.com/t/UM5UZBrDD,3.58,249,53600053,0,17633287,35966766,YES,50000,NOT FUNDED,225,Over Budget,USD
Fund07,Milkomeda SPO validator training,New SPO Business Opportunities,https://app.ideascale.com/t/UM5UZBrDr,3.42,310,90159196,0,22154368,68004828,YES,10000,FUNDED,23200,,USD
Fund07,Mini Proposal Workshops,Community Events,https://app.ideascale.com/t/UM5UZBrEk,4.57,403,85513606,0,3930052,81583554,YES,3456,FUNDED,81060,,USD
Fund07,Mint Home Equity as NFT,Boosting Cardanos DeFi,https://app.ideascale.com/t/UM5UZBrVN,2.87,311,19884380,0,22566973,-2682593,NO,25000,NOT FUNDED,5940,Approval Threshold,USD
Fund07,Mission driven and Accountable!,Global Sustainable Indep. SPOs,https://app.ideascale.com/t/UM5UZBrgk,4.28,151,37683213,0,11146508,26536705,YES,15000,NOT FUNDED,250,Over Budget,USD
Fund07,Mission& Vision driven SPO Networks,Global Sustainable Indep. SPOs,https://app.ideascale.com/t/UM5UZBrCx,4.44,157,32072743,0,12978015,19094728,YES,10500,NOT FUNDED,250,Over Budget,USD
Fund07,MissionDrivenPools Media Competiton,Global Sustainable Indep. SPOs,https://app.ideascale.com/t/UM5UZBrG7,4.25,125,41247616,0,8229215,33018401,YES,4000,NOT FUNDED,1250,Over Budget,USD
Fund07,MLabs DDAO,DAOs ❤ Cardano,https://app.ideascale.com/t/UM5UZBrQE,4.46,649,151536528,0,1305407,150231121,YES,72000,FUNDED,400013,,USD
Fund07,MLabs DTF (Dao-Traded-Fund),Boosting Cardanos DeFi,https://app.ideascale.com/t/UM5UZBqYy,4.48,787,153644976,0,9582829,144062147,YES,70400,FUNDED,93140,,USD
Fund07,Mobile App: NFT/Token Gallery,MiniLow-Budget Dapps & Integrat,https://app.ideascale.com/t/UM5UZBq9L,3.75,110,20955040,0,16432174,4522866,YES,7000,FUNDED,56441,,USD
Fund07,Mobilize NFT groups via DAO tooling,DAOs ❤ Cardano,https://app.ideascale.com/t/UM5UZBrNs,3.89,228,44815534,0,9283566,35531968,YES,38300,NOT FUNDED,16173,Over Budget,USD
