Fund,Proposal,Challenge,Link,Overall score,Votes cast,YES,ABSTAIN,NO,Result,Ccy,Meets approval threshold,REQUESTED,STATUS,FUND DEPLETION,Reason for not funded status,Funding category,proposal_id,URL,No. Assessments,# valid reviews,"# allocated
(out of valid)",% of valid,"% of allocated
(out of valid)","Impact
score","Feasibility
score","Value for money
score"
Fund12,[PRO39] - A dApp Web3 Freelancer Service Marketplace on Cardano ~ Fiverr on Cardano,Cardano Use Cases: Concept,https://projectcatalyst.io/funds/12/f12-cardano-use-cases-concept/pro39-a-dapp-web3-freelancer-service-marketplace-on-cardano-fiverr-on-cardano,3.78,186,19096127,44825676,0,19096127,ADA,NO,98035,NOT FUNDED,2776301,Approval Threshold,Cardano Use Cases Concept,120686,https://app.ideascaleapp.eu/t/UCNZhbd,116,78,77,67.24%,98.72%,3.84,3.77,3.74
Fund12,[PRO39] - Online Training Platform for Talents and Freelancers on Cardano ~ Udemy on Cardano,Cardano Open: Ecosystem,https://projectcatalyst.io/funds/12/f12-cardano-open-ecosystem/pro39-online-training-platform-for-talents-and-freelancers-on-cardano-udemy-on-cardano,3.96,217,13891065,47187205,0,13891065,ADA,NO,78747,NOT FUNDED,7598,Approval Threshold,Cardano Open Ecosystem,120693,https://app.ideascaleapp.eu/t/UCNZhbk,116,81,79,69.83%,97.53%,4.12,3.95,3.81
Fund12,"[selfdriven|1] Integrating SSI, DID, and Soulbound Tokens with the Selfdriven educational framework for transformative education and credentialing. (Scientific Research)",Cardano Use Cases: Concept,https://projectcatalyst.io/funds/12/f12-cardano-use-cases-concept/selfdrivenor1-integrating-ssi-did-and-soulbound-tokens-with-the-selfdriven-educational-framework-for-transformative-education-and-credentialing-scientific-research-e5e72,3.82,154,15030681,112872882,0,15030681,ADA,NO,35000,NOT FUNDED,2776301,Approval Threshold,Cardano Use Cases Concept,122287,https://app.ideascaleapp.eu/t/UCNZh1s,118,71,70,60.17%,98.59%,4.1,3.85,3.51
Fund12,[selfdriven|5] Path to Decentralised Self-Driven Learning Communities (Sociological Research/Systems Theory),Cardano Use Cases: Concept,https://projectcatalyst.io/funds/12/f12-cardano-use-cases-concept/selfdrivenor5-path-to-decentralised-self-driven-learning-communities-sociological-researchsystems-theory-35cc2,3.72,151,31111831,44165288,0,31111831,ADA,NO,28000,NOT FUNDED,2776301,Approval Threshold,Cardano Use Cases Concept,122279,https://app.ideascaleapp.eu/t/UCNZh1k,110,70,69,63.64%,98.57%,3.77,3.79,3.6
Fund12,[Torii] Shopify Plugin (free) - Expanding Reach to Cardano Collections,Cardano Use Cases: MVP,https://projectcatalyst.io/funds/12/f12-cardano-use-cases-mvp/torii-shopify-plugin-free-expanding-reach-to-cardano-collections,4.07,189,47950959,113323989,0,47950959,ADA,YES,125714,NOT FUNDED,16600,Over Budget,Cardano Use Cases MVP,122980,https://app.ideascaleapp.eu/t/UCNZiDE,102,61,61,59.80%,100.00%,4.3,4.08,3.84
Fund12,[TRADYCAR] Eliminating Fraud from the Used Car Market and Adding Trusted Vehicle History with dNFTs,Cardano Use Cases: MVP,https://projectcatalyst.io/funds/12/f12-cardano-use-cases-mvp/tradycar-eliminating-fraud-from-the-used-car-market-and-adding-trusted-vehicle-history-with-dnfts,4.07,178,21999314,117832106,0,21999314,ADA,NO,237000,NOT FUNDED,16600,Approval Threshold,Cardano Use Cases MVP,122112,https://app.ideascaleapp.eu/t/UCNZhy0,113,64,63,56.64%,98.44%,4.3,3.9,4.02
Fund12,[VNEconomics Academy] Cardano Stake Pool Owners (SPOs) Behavior - Academic Research,Cardano Open: Ecosystem,https://projectcatalyst.io/funds/12/f12-cardano-open-ecosystem/vneconomics-academy-cardano-stake-pool-owners-spos-behavior-academic-research,3.75,178,11111603,46847165,0,11111603,ADA,NO,44200,NOT FUNDED,7598,Approval Threshold,Cardano Open Ecosystem,118670,https://app.ideascaleapp.eu/t/UCNZg3a,188,112,66,59.57%,58.93%,3.84,3.89,3.53
Fund12,[VNEconomics Academy] New approach to promote Project Catalyst,Cardano Open: Ecosystem,https://projectcatalyst.io/funds/12/f12-cardano-open-ecosystem/vneconomics-academy-new-approach-to-promote-project-catalyst,3.85,163,18556060,48086299,0,18556060,ADA,NO,26200,NOT FUNDED,7598,Approval Threshold,Cardano Open Ecosystem,119421,https://app.ideascaleapp.eu/t/UCNZhFt,131,82,77,62.60%,93.90%,3.85,3.89,3.81
Fund12,🐘🦏 Noah's B-Ark: Leveraging Cardano for the Preservation of Endangered Species 🐅🐋,Cardano Use Cases: Concept,https://projectcatalyst.io/funds/12/f12-cardano-use-cases-concept/noahs-b-ark-leveraging-cardano-for-the-preservation-of-endangered-species,3.39,153,10871303,50779154,0,10871303,ADA,NO,80000,NOT FUNDED,2776301,Approval Threshold,Cardano Use Cases Concept,122540,https://app.ideascaleapp.eu/t/UCNZh51,117,78,77,66.67%,98.72%,4.06,3,3.12
Fund12,👨‍💻 👩‍🔬 Cardano-Specific Fellowship for Scientists and Developers,Cardano Open: Ecosystem,https://projectcatalyst.io/funds/12/f12-cardano-open-ecosystem/cardano-specific-fellowship-for-scientists-and-developers,3.91,186,27892301,55568610,0,27892301,ADA,NO,100000,NOT FUNDED,7598,Approval Threshold,Cardano Open Ecosystem,123596,https://app.ideascaleapp.eu/t/UCNZiNK,119,77,71,64.71%,92.21%,4.24,3.87,3.61
Fund12,💻🔬 Science Focused Hackathon on Cardano,Cardano Open: Ecosystem,https://projectcatalyst.io/funds/12/f12-cardano-open-ecosystem/science-focused-hackathon-on-cardano,4.01,178,21604394,44662339,0,21604394,ADA,NO,100000,NOT FUNDED,7598,Approval Threshold,Cardano Open Ecosystem,123557,https://app.ideascaleapp.eu/t/UCNZiMh,106,78,74,73.58%,94.87%,4.26,3.92,3.84
Fund12,📚🔬 An Educational Hub for Decentralised Science on Cardano,Cardano Open: Ecosystem,https://projectcatalyst.io/funds/12/f12-cardano-open-ecosystem/an-educational-hub-for-decentralised-science-on-cardano,3.91,195,23833598,49594514,0,23833598,ADA,NO,100000,NOT FUNDED,7598,Approval Threshold,Cardano Open Ecosystem,123652,https://app.ideascaleapp.eu/t/UCNZiOF,141,85,69,60.28%,81.18%,4.16,3.9,3.68
