Fund,Proposal,Challenge,Link,Overall score,Votes cast,YES,ABSTAIN,NO,Result,Meets approval threshold,REQUESTED,STATUS,FUND DEPLETION,Reason for not funded status,Ccy,URL,proposal_id,Funding category,challenge_id,Rating,No. Assessments
Fund09,CNFT Marketplace for 3D materials,"Dapps, Products & Integrations",https://app.ideascale.com/t/UM5UZB0GM,3.47,135,1719824,0,22148867,-20429043,NO,40583,NOT FUNDED,3171,Approval Threshold,,https://cardano.ideascale.com/a/dtd/417130-48088,417130,"F9: Dapps, Products & Integrations",26595,3.47,5
Fund09,Financial Implementation Blockchain,Legal & Financial Implementatio,https://app.ideascale.com/t/UM5UZBz3T,3.47,185,2035826,0,18257664,-16221838,NO,45000,NOT FUNDED,8659,Approval Threshold,,https://cardano.ideascale.com/a/dtd/416344-48088,416344,F9: Legal & Financial Implementations,26596,3.47,5
Fund09,Flooftopia: NFT Interoperability,"Dapps, Products & Integrations",https://app.ideascale.com/t/UM5UZBz1d,3.47,134,2253997,0,21459163,-19205166,NO,15000,NOT FUNDED,3171,Approval Threshold,,https://cardano.ideascale.com/a/dtd/416231-48088,416231,"F9: Dapps, Products & Integrations",26595,3.47,5
Fund09,Monitoring tools for SPO,"Dapps, Products & Integrations",https://app.ideascale.com/t/UM5UZB0jH,3.47,140,2186374,0,20872098,-18685724,NO,25000,NOT FUNDED,3171,Approval Threshold,,https://cardano.ideascale.com/a/dtd/418833-48088,418833,"F9: Dapps, Products & Integrations",26595,3.47,5
Fund09,Milkomeda Djed,"Dapps, Products & Integrations",https://app.ideascale.com/t/UM5UZB0oU,3.46,530,249360390,0,26212157,223148233,YES,40000,FUNDED,7085000,,,https://cardano.ideascale.com/a/dtd/419151-48088,419151,"F9: Dapps, Products & Integrations",26595,3.46,8
Fund09,ADA to Mobile Money App,"Dapps, Products & Integrations",https://app.ideascale.com/t/UM5UZBzXs,3.44,149,3166156,0,20165004,-16998848,NO,44000,NOT FUNDED,3171,Approval Threshold,,https://cardano.ideascale.com/a/dtd/414477-48088,414477,"F9: Dapps, Products & Integrations",26595,3.44,16
Fund09,support for education,"Grow Africa, Grow Cardano",https://app.ideascale.com/t/UM5UZB1qG,3.44,120,2002242,0,24982043,-22979801,NO,59525,NOT FUNDED,415,Approval Threshold,,https://cardano.ideascale.com/a/dtd/422980-48088,422980,"F9: Grow Africa, Grow Cardano",26600,3.44,9
Fund09,Flooftopia: Korean Translation,"Grow East Asia, Grow Cardano",https://app.ideascale.com/t/UM5UZB0FF,3.44,161,22929071,0,31559392,-8630321,NO,7500,NOT FUNDED,1021,Approval Threshold,,https://cardano.ideascale.com/a/dtd/417062-48088,417062,"F9: Grow East Asia, Grow Cardano",26602,3.44,6
Fund09,FluidTokens Protocol Security Audit,"Dapps, Products & Integrations",https://app.ideascale.com/t/UM5UZB1Si,3.44,159,3296456,0,26914399,-23617943,NO,100000,NOT FUNDED,3171,Approval Threshold,,https://cardano.ideascale.com/a/dtd/421604-48088,421604,"F9: Dapps, Products & Integrations",26595,3.44,6
Fund09,Onboarding Sri Lanka,"Dapps, Products & Integrations",https://app.ideascale.com/t/UM5UZB0I3,3.44,184,1455668,0,27731906,-26276238,NO,40500,NOT FUNDED,3171,Approval Threshold,,https://cardano.ideascale.com/a/dtd/417294-48088,417294,"F9: Dapps, Products & Integrations",26595,3.44,6
Fund09,TECH-E,"Grow Africa, Grow Cardano",https://app.ideascale.com/t/UM5UZB1dz,3.44,118,1091678,0,22506959,-21415281,NO,45000,NOT FUNDED,415,Approval Threshold,,https://cardano.ideascale.com/a/dtd/422231-48088,422231,"F9: Grow Africa, Grow Cardano",26600,3.44,6
Fund09,Amazon Cardano Store,"Dapps, Products & Integrations",https://app.ideascale.com/t/UM5UZB1Cp,3.43,134,3093079,0,19346249,-16253170,NO,57000,NOT FUNDED,3171,Approval Threshold,,https://cardano.ideascale.com/a/dtd/420635-48088,420635,"F9: Dapps, Products & Integrations",26595,3.43,7
Fund09,NFT machine learning evaulation,"Dapps, Products & Integrations",https://app.ideascale.com/t/UM5UZB08j,3.43,137,1841447,0,22007466,-20166019,NO,30000,NOT FUNDED,3171,Approval Threshold,,https://cardano.ideascale.com/a/dtd/420385-48088,420385,"F9: Dapps, Products & Integrations",26595,3.43,7
Fund09,Cardano in Khmer,"Grow East Asia, Grow Cardano",https://app.ideascale.com/t/UM5UZB1si,3.42,210,15278412,0,47408741,-32130329,NO,11150,NOT FUNDED,1021,Approval Threshold,,https://cardano.ideascale.com/a/dtd/423129-48088,423129,"F9: Grow East Asia, Grow Cardano",26602,3.42,8
Fund09,The tokenization of real estate,"Grow Africa, Grow Cardano",https://app.ideascale.com/t/UM5UZB1sa,3.42,128,10624609,0,23303189,-12678580,NO,41000,NOT FUNDED,415,Approval Threshold,,https://cardano.ideascale.com/a/dtd/423121-48088,423121,"F9: Grow Africa, Grow Cardano",26600,3.42,8
Fund09,TREASURE CHAIN - An NFT Art Network,"Dapps, Products & Integrations",https://app.ideascale.com/t/UM5UZBzdV,3.42,136,1762687,0,25174752,-23412065,NO,50000,NOT FUNDED,3171,Approval Threshold,,https://cardano.ideascale.com/a/dtd/414760-48088,414760,"F9: Dapps, Products & Integrations",26595,3.42,4
Fund09,C4S-Cardano4Seniors Incubator,"Dapps, Products & Integrations",https://app.ideascale.com/t/UM5UZBzPs,3.41,178,2582496,0,42764834,-40182338,NO,225000,NOT FUNDED,3171,Approval Threshold,,https://cardano.ideascale.com/a/dtd/413989-48088,413989,"F9: Dapps, Products & Integrations",26595,3.41,9
Fund09,Carp over-budget + maintenance,Developer Ecosystem,https://app.ideascale.com/t/UM5UZB0od,3.41,474,187239078,0,51111479,136127599,YES,65000,FUNDED,456720,,,https://cardano.ideascale.com/a/dtd/419159-48088,419159,F9: Developer Ecosystem,26597,3.41,9
Fund09,Maximize Value From Previous Funds,"Grow East Asia, Grow Cardano",https://app.ideascale.com/t/UM5UZB1uH,3.41,129,10178920,0,34120945,-23942025,NO,5000,NOT FUNDED,1021,Approval Threshold,,https://cardano.ideascale.com/a/dtd/423225-48088,423225,"F9: Grow East Asia, Grow Cardano",26602,3.41,9
Fund09,OMIMIMO - The Pure Water Game,"Dapps, Products & Integrations",https://app.ideascale.com/t/UM5UZBzTm,3.39,132,1922899,0,20606424,-18683525,NO,19000,NOT FUNDED,3171,Approval Threshold,,https://cardano.ideascale.com/a/dtd/414227-48088,414227,"F9: Dapps, Products & Integrations",26595,3.39,12
Fund09,CNFT Alliance: Korean Community!,"Grow East Asia, Grow Cardano",https://app.ideascale.com/t/UM5UZBz9D,3.38,168,18775223,0,37094706,-18319483,NO,7500,NOT FUNDED,1021,Approval Threshold,,https://cardano.ideascale.com/a/dtd/416694-48088,416694,"F9: Grow East Asia, Grow Cardano",26602,3.38,7
Fund09,Empowering African Farmers with NFT,"Grow Africa, Grow Cardano",https://app.ideascale.com/t/UM5UZB0aU,3.38,133,5996917,0,22460031,-16463114,NO,40000,NOT FUNDED,415,Approval Threshold,,https://cardano.ideascale.com/a/dtd/418297-48088,418297,"F9: Grow Africa, Grow Cardano",26600,3.38,7
Fund09,NFT Valuation Public API,"Dapps, Products & Integrations",https://app.ideascale.com/t/UM5UZBzd5,3.38,137,1809786,0,22286869,-20477083,NO,30000,NOT FUNDED,3171,Approval Threshold,,https://cardano.ideascale.com/a/dtd/414795-48088,414795,"F9: Dapps, Products & Integrations",26595,3.38,7
Fund09,Catalyst for Student in Vietnam,"Grow East Asia, Grow Cardano",https://app.ideascale.com/t/UM5UZB0kk,4,152,18848589,0,30542954,-11694365,NO,5979,NOT FUNDED,1021,Approval Threshold,,https://cardano.ideascale.com/a/dtd/418795-48088,418922,"F9: Grow East Asia, Grow Cardano",26602,3.37,9
Fund09,Community Managed Proposal System,Developer Ecosystem,https://app.ideascale.com/t/UM5UZB1QQ,3.37,145,1478006,0,24954594,-23476588,NO,19500,NOT FUNDED,780,Approval Threshold,,https://cardano.ideascale.com/a/dtd/421465-48088,421465,F9: Developer Ecosystem,26597,3.37,9
Fund09,Smart Contract Library - Phase 1,Developer Ecosystem,https://app.ideascale.com/t/UM5UZBzhe,3.37,158,4333719,0,24469329,-20135610,NO,65900,NOT FUNDED,780,Approval Threshold,,https://cardano.ideascale.com/a/dtd/415012-48088,415012,F9: Developer Ecosystem,26597,3.37,9
